SUBJECT,COURSE_NUMBER,SECTION,CRN,EXAM_DATE,EXAM_TIME,BUILDING_CODE,ROOM_CODE
SOCI,459,001,15400,12/11/2023,1400,,
SOCI,366,001,13127,12/9/2023,1900,,
SOCI,409,001,15395,12/6/2023,0900,,
SOCI,426,001,15397,12/8/2023,1900,,
SOCI,380,003,13495,12/6/2023,0900,,
SOCI,231,001,15434,12/6/2023,1400,KRF,110
SOCI,301,001,15435,12/6/2023,1400,HRG,100
SOCI,309,001,14096,12/11/2023,1900,,
SOCI,307,001,14353,12/10/2023,1900,,
SWGS,205,001,14765,12/7/2023,1400,,
SWGS,477,001,15432,12/8/2023,1900,,
SWGS,338,001,15496,12/10/2023,1900,,
SWGS,345,001,15505,12/6/2023,1400,SEW,309
SMGT,350,001,10516,12/11/2023,1400,,
SMGT,260,001,11988,12/10/2023,1900,,
SMGT,276,001,12199,12/12/2023,0900,,
SMGT,366,001,12244,12/6/2023,0900,,
SMGT,320,001,12540,12/10/2023,1900,,
SMGT,450,001,12541,12/11/2023,1900,,
SMGT,260,002,14110,12/11/2023,1400,,
SMGT,440,004,15820,12/11/2023,1900,,
ARTS,165,002,14776,12/11/2023,1400,,
ASTR,470,001,10209,12/11/2023,1900,HBH,427
ARTS,225,003,15827,12/11/2023,1900,,
ARTS,312,001,15379,12/11/2023,1900,,
ASIA,495,001,13380,12/8/2023,1400,,
ASIA,219,001,14358,12/12/2023,0900,,
ASIA,380,001,14362,12/10/2023,1900,,
ASIA,222,001,14401,12/12/2023,0900,,
ASIA,360,001,15648,12/6/2023,0900,,
ASIA,223,001,15256,12/8/2023,1400,,
ASIA,302,001,15257,12/9/2023,1900,,
ASIA,305,001,15258,12/6/2023,0900,,
ASIA,378,001,15486,12/6/2023,1400,,
ASIA,221,001,15488,12/8/2023,0900,,
ASIA,322,001,16183,12/9/2023,1900,HUM,119
ASIA,238,001,16325,12/7/2023,1900,,
SMGT,266,001,14787,12/7/2023,1900,,
SMGT,440,003,15821,12/12/2023,0900,,
SMGT,432,001,15547,12/8/2023,1900,,
SMGT,360,001,15422,12/10/2023,1900,KRF,125
SMGT,364,001,15423,12/9/2023,1900,,
SMGT,400,001,15426,12/6/2023,0900,,
AFSC,201,001,10305,12/8/2023,1400,,
AFSC,101,004,11113,12/6/2023,0900,,
JWST,318,001,16108,12/6/2023,1400,BKH,102
PJHC,300,001,12100,12/6/2023,0900,,
PJHC,371,001,15673,12/12/2023,0900,,
LEAD,402,001,15571,12/8/2023,1400,,
LEAD,215,001,15572,12/9/2023,1400,,
MDHM,201,001,11689,12/11/2023,1400,,
FWIS,153,001,16365,12/11/2023,1400,,
FWIS,176,001,16366,12/8/2023,1900,,
ASTR,451,001,10282,12/8/2023,0900,HBH,453
ASTR,400,001,12810,12/11/2023,1900,,
ASTR,101,001,12306,12/12/2023,0900,DBH,180
ASTR,350,002,12740,12/10/2023,1900,HBH,427
ASTR,102,001,14056,12/11/2023,1900,HBH,227
BIOE,252,001,10084,12/7/2023,1900,SEW,309
BIOE,451,001,10087,12/6/2023,0900,KCK,100
COMM,120,001,16386,12/6/2023,0900,,
COMM,120,002,16387,12/8/2023,1400,,
COMM,110,002,16399,12/8/2023,1400,,
COMM,120,003,16465,12/6/2023,1400,,
MDHM,402,001,11690,12/6/2023,1900,,
MDHM,430,001,11879,12/6/2023,1900,,
MDHM,359,001,15644,12/10/2023,1900,,
MDHM,238,001,16284,12/6/2023,1400,,
MDHM,238,006,15529,12/6/2023,1400,,
COLL,114,001,15611,12/8/2023,1400,,
COLL,185,002,15800,12/6/2023,1900,,
COLL,153,001,15581,12/6/2023,0900,,
COLL,169,001,15582,12/6/2023,1400,,
COLL,172,001,15583,12/11/2023,1900,,
COLL,175,001,15584,12/6/2023,0900,,
FWIS,180,001,16367,12/8/2023,0900,,
FWIS,153,002,16368,12/10/2023,1900,,
FWIS,166,001,16374,12/10/2023,1900,KRF,120
FWIS,175,001,16375,12/11/2023,1900,,
FWIS,188,004,16471,12/11/2023,1400,,
RCEL,100,001,11738,12/8/2023,1400,,
RCEL,440,001,11752,12/6/2023,1400,,
RCEL,450,001,11753,12/11/2023,1900,,
RCEL,400,001,11775,12/8/2023,1400,,
RCEL,200,002,12032,12/8/2023,1400,,
